video_id,video_title,channel,source_step,source_step_name,source_position,status,privacy_status,embeddable,upload_status,api_title
3HxI3iwQ7E8,"2nd Grade Math 7.11, A.M. and P.M.",JoAnn's_School,Year 3_7-8_Summer__Time_5_Use am and pm,Use am and pm,current_2,embedding_disabled,public,False,processed,"2nd Grade Math 7.11, A.M. and P.M."
Ro_ufrK0Ok8,"2nd Grade Math 5.8, Add to Find Differences (Mental math)",JoAnn's_School,Year 4_8-9_Autumn__Addition and subtraction_8_Efficient subtraction,Efficient subtraction,current_3,embedding_disabled,public,False,processed,"2nd Grade Math 5.8, Add to Find Differences (Mental math)"
CKhTsEBoYbQ,"3rd Grade Math 11.1, Model Perimeter",JoAnn's_School,Year 4_8-9_Spring__Length and perimeter_3_Perimeter on a grid,Perimeter on a grid,current_2,embedding_disabled,public,False,processed,"3rd Grade Math 11.1, Model Perimeter"
vkuxGE4apaQ,"2nd Grade Math 7.7, Word Problem Solving, Money",JoAnn's_School,Year 4_8-9_Summer__Money_6_Solve problems with money,Solve problems with money,current_3,embedding_disabled,public,False,processed,"2nd Grade Math 7.7, Word Problem Solving, Money"
oslylIwv6aE,"2nd Grade Math 5.11, Solve Multi-step Word Problems",JoAnn's_School,Year 5_9-10_Autumn__Addition and subtraction_6_Multi-step addition and subtraction problems,Multi-step addition and subtraction problems,current_3,embedding_disabled,public,False,processed,"2nd Grade Math 5.11, Solve Multi-step Word Problems"
fsDmyyXggG8,"2nd Grade Math 5.9, Word Problem Solving, 2-Digit Subtraction (Bar Models)",JoAnn's_School,Year 5_9-10_Autumn__Addition and subtraction_7_Compare calculations,Compare calculations,current_1,embedding_disabled,public,False,processed,"2nd Grade Math 5.9, Word Problem Solving, 2-Digit Subtraction (Bar Models)"
eqkK4kLfNzw,"2nd Grade Math 3.8, Use Drawings to Represent Problems, Bar Models",JoAnn's_School,Year 5_9-10_Autumn__Addition and subtraction_7_Compare calculations,Compare calculations,current_2,embedding_disabled,public,False,processed,"2nd Grade Math 3.8, Use Drawings to Represent Problems, Bar Models"
TUm03V5Iufo,Year 5   Maths Day 3   Multiplying non unit fractions,Charlton_Primary_School,Year 5_9-10_Spring__Fractions B_2_Multiply a non-unit fraction by an integer,Multiply a non-unit fraction by an integer,current_3,embedding_disabled,public,False,processed,Year 5   Maths Day 3   Multiplying non unit fractions
Bii5uVEsjpU,"Mental Math Tricks, Multiply by Breaking Apart a Factor",JoAnn's_School,Year 5_9-10_Spring__Multiplication and division B_6_Solve problems with multiplication,Solve problems with multiplication,current_2,embedding_disabled,public,False,processed,"Mental Math Tricks, Multiply by Breaking Apart a Factor"
WVcDtCYLqI4,"8th Grade Math 6.1a, Understanding Relationships as Input and Output, Functions",JoAnn's_School,Year 6_10-11_Spring__Algebra_1_1-step function machines,1-step function machines,current_2,embedding_disabled,public,False,processed,"8th Grade Math 6.1a, Understanding Relationships as Input and Output, Functions"
TFQDFd4pGU8,"Kindergarten Math 9.12, Problem Solving, Draw to Join Shapes",JoAnn's_School,Year 6_10-11_Summer__Shape_10_Draw shapes accurately,Draw shapes accurately,current_3,embedding_disabled,public,False,processed,"Kindergarten Math 9.12, Problem Solving, Draw to Join Shapes"
1hKnZHTJPY8,Horizontal and Vertical Lines | Equation of line parallel to x axis or y axis,Math_Simplified_-_Harsha_Jeshnani,Year 8_12-13_Autumn__Coordinates and graphs_2_Lines parallel to the axes,Lines parallel to the axes,current_3,embedding_disabled,public,False,processed,Horizontal and Vertical Lines | Equation of line parallel to x axis or y axis
bAZTx-aNGUY,"8th Grade Math 6.4c, Functions, Sketching a Graph for a Situation",JoAnn's_School,Year 9_13-14_Autumn__Rates_3_Flow problems and their graphs,Flow problems and their graphs,current_1,embedding_disabled,public,False,processed,"8th Grade Math 6.4c, Functions, Sketching a Graph for a Situation"
